Operador;Pais
Afghan Army;Afganistan
Ariana Afghan Airlines;Afganistan
Kam Air;Afganistan
Military - Afghan Republican Air Force;Afganistan
Military - Argentine Air Force;Afganistan
Military - Taliban Militia;Afganistan
Pamir Airlines;Afganistan
Military - Dostum-Galboddin Militia;Afghanistan
Air Afrique;Africa
West African Airways;Africa Occidental
Tigres Voladores;Albania
Aerolineas Condor;Alemania
Bakhtar Afghan Airlines;Alemania
Blue Hawaiian Helicopter;Alemania
Blue Water Aviation Services;Alemania
Calair;Alemania
Condor Flugdienst;Alemania
Continentale Deutsche Luftreederei;Alemania
Deutche Lufthansa;Alemania
Deutsche Lufthansa;Alemania
Germanwings;Alemania
Lufthansa;Alemania
Lufthansa Cargo Airlines;Alemania
Lufthansa Cityline;Alemania
NFD - Nurnberger Flugdienst;Alemania
Swan Aviation;Alemania
Transfair;Alemania
Military - West German Air Force;Alemania Occidental
Interflug;Alemania Oriental
Angola Air Charter;Angola
DTA Angola Airlines;Angola
Force Area Populaire de Angola;Angola
Fuerza Area Angolaise;Angola
Guicango;Angola
Lineas Aereas de Angola;Angola
Military - Angolan  Air Force;Angola
Military - Angolan Air Force;Angola
Military - FANA Forca Aerea Nacional Angolana;Angola
TAAG Angola Airlines;Angola
Leeward Islands Air Transport;Antigua y Barbuda
Antillean Airlines;Antillas Neerlandesas
Ababeel Aviaition;Arabia Saudita
Aramco Associated Company;Arabia Saudita
Military - Royal Saudi Air Force;Arabia Saudita
SATCO;Arabia Saudita
Saudi Arabian Airlines;Arabia Saudita
Saudi Arabian Airlines / Kazakhstan Airlines;Arabia Saudita
Saudi Arabian Royal Flight;Arabia Saudita
Air Algerie;Argelia
Military - Algerian Air Force;Argelia
Transport Comp. Algerienne de T.A.;Argelia
Aerolineas Argentinas;Argentina
Aerolineas Flecha Austral;Argentina
Aerolineas Flecha Austral - ALFA;Argentina
Aerolineas Litoral Argentina;Argentina
Alas del Sur;Argentina
Austral Lineas Aeras (Argentina);Argentina
CATA;Argentina
CATA Linea Aerea;Argentina
FAMA (Argentina);Argentina
LAPA, Lineas Aereas Privadas Argentinas;Argentina
Lineas Aereas Comerciales;Argentina
