Unnamed: 0;fecha;HORA declarada;Ruta;Operador;flight_no;route;ac_type;registration;cn_ln;all_aboard;PASAJEROS A BORDO;crew_aboard;cantidad de fallecidos;passenger_fatalities;crew_fatalities;ground;summary;Lugar_Despegue
1;1909-09-07;?;Juvisy-sur-Orge, France;Operador no Definida;flight no Definida;Air show;Wright Byplane;SC1;cn_ln no Definida;1;0;1;1;0;0;0;Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.;Air show
2;1912-07-12;0630;Atlantic City, New Jersey;Military - U.S. Navy;flight no Definida;Test flight;Dirigible;Placa de Avion no Definida;cn_ln no Definida;5;0;5;5;0;5;0;First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.;Test flight
27;1919-08-02;?;Verona, Italy;Caproni Company;flight no Definida;Venice  Taliedo;Caproni Ca.48;Placa de Avion no Definida;cn_ln no Definida;14;12;2;14;12;2;0;As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.;Venice  Taliedo
32;1919-12-11;?;Catherham, Surrey, UK;Aircraft Travel Transport;flight no Definida;Paris - Hounslow;de Havilland DH-4;G-EAHF;cn_ln no Definida;1;1;1;1;1;1;0;Crashed in a field while attemptting to land.;Paris 
34;1920-03-30;?;Newark, New Jersey;US Aerial Mail Service;flight no Definida;Washington - Newark;De Havilland DH-4;72;cn_ln no Definida;1;0;1;1;0;1;0;George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.;Washington 
49;1920-12-14;1215;London, England;Handley Page Transport;flight no Definida;London - Paris;Handley Page HP-16;G-EAMA;HP-25;8;6;2;4;2;2;0;The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..;London 
61;1921-09-06;?;Paris, France;Franco-Roumaine;flight no Definida;Warsaw - Prague - Strasbourg - Paris;Potez IX;F-ADCD;160;5;4;1;5;4;1;0;Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.;Warsaw 
62;1921-12-05;?;Near Murchinson River, Australia;West Australian Airways;flight no Definida;Geraldton - Derby;Bristol 28 Tourer;G-AUDI;6116;2;0;2;2;0;2;0;On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.;Geraldton 
65;1922-03-22;1140;North Atlantic Ocean;Aero Limited;flight no Definida;Miami - Bimini;Aeromarine Model 85 (flying boat);Placa de Avion no Definida;cn_ln no Definida;6;5;1;5;5;0;0;The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.;Miami 
66;1922-04-07;1315;Grandvilliers, France;Daimler Airways / Grands Express Aeriens;flight no Definida;Croydon - Le Bourget;de Havilland DH-18 / Farman F-60 Goliath;G-EAOW/FGEAD;4;7;5;2;7;5;2;0;A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.;Croydon 
67;1922-04-08;?;Pao Ting Fou, China;Operador no Definida;flight no Definida;Test;Tipo de Avion no Definida;Placa de Avion no Definida;cn_ln no Definida;17;0;17;17;0;17;0;Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.;Test
69;1922-07-04;?;Fuhlsbuttel, Germany;Operador no Definida;flight no Definida;Hamburg - Berlin;LVG C VI;Placa de Avion no Definida;cn_ln no Definida;3;2;1;2;1;1;0;The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).;Hamburg 
70;1922-07-16;1645;Near Saverne, Lorraine, France;Compagnie Franco-Roumaine de Navigaation Aerienne;flight no Definida;Strasbourg - Paris;Potez 29;F-FREI;25;5;4;1;5;4;1;0;Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.;Strasbourg 
73;1922-10-02;?;Venice, Italy;de Havilland Air Service;flight no Definida;Venice - London;de Havilland DH-9;G-EAYT;14;4;3;1;4;3;1;0;Shortly after taking off the plane crashed into the sea and sank.;Venice 
75;1922-12-03;?;Fez, Morocco;Grands Express Aeriens;flight no Definida;Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat;Breguet 14;F-ALNA;14;1;0;1;1;0;1;0;While flying in foggy conditions the pilot reduced altitude and crashed into a hill.;Toulouse 
87;1923-12-23;c 02:30;Over the Mediterranean Sea;Military - French Navy;flight no Definida;Toulon - Algiers;Zeppelin Dixmunde (airship);L-72;cn_ln no Definida;52;0;0;52;0;0;0;Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.;Toulon 
90;1924-04-24;?;Over the English Channel;KLM Royal Dutch Airlines;flight no Definida;Lympne, England - Rotterdam, The Netherlands;Fokker F.III;H-NABS;1535;3;2;1;3;2;1;0;The aircraft disappeared over the North Sea. The plane and passengers were never found.;Lympne, England 
91;1924-06-08;?;Barranquilla, Colombia;SCADTA;flight no Definida;Barranquilla - Bogota;Junkers F-13;A16;684;5;3;2;5;3;2;0;Stalled after taking off and crashed into houses..;Barranquilla 
96;1925-03-22;?;Near Tiflis, Georgia, USSR;Zakavia;flight no Definida;Tiflis - Suchumi;Junkers F-13;R-RECA;590;5;3;2;5;3;2;0;Shortly after take off the plane went out of control and crashed in flames.;Tiflis 
97;1925-04-25;?;Alicante, Spain;Grands Express Aeriens;flight no Definida;Alicante - Barcelona - Toulouse;Breguet 14;F-AFBB;202;3;1;2;3;1;2;0;Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.;Alicante 
98;1925-06-25;?;Landrécies, France;KLM Royal Dutch Airlines;flight no Definida;Amsterdam - Paris;Fokker (KLM)  F.III;H-NABM;1502;4;3;1;4;3;1;0;While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.;Amsterdam 
99;1925-06-26;?;Alicante, Spain;Grands Express Aeriens;flight no Definida;Oran - Alicante;Lioré-et-Olivier LeO H-13;F-FREM;cn_ln no Definida;2;0;2;2;0;2;0;While attempting to land the seaplane hit a lightning mast and crashed.;Oran 
