Pais;Continente
Abjasia; Europa 
Actividad; Asia
Afganistán; Europa
Alemania; África
Angola; América del Norte
Antigua y Barbuda; Asia
Arabia Saudita; África
Argelia; América del Sur
Argentina; Asia
Armenia; Asia
Asunción; América del Sur 
Australia; Oceanía
Austria; Europa
Azerbaiyán; Asia
Bahamas; América del Norte
Bangladés; Asia
Bangladesh; América del Norte
Barbados; Asia
Baréin; Europa
Bélgica; América Central
Belice; África
Benín; América del Norte
Bermudas; Europa
Bielorrusia; Asia
Birmania; América del Sur
Bolivia; Europa
Bosnia y Herzegovina; África
Botsuana; América del Sur
Brasil; Asia
Brunéi; Europa
Bulgaria; África
Burkina Faso; África
Burundi; África
Cabo Verde; Asia
Camboya; África
Camerún; América del Norte
Canadá; África
Chad; América del Sur
Chile; Asia
China; Europa
Chipre; América del Sur
Colombia; África
Comoras; Asia
Corea del Norte; Asia
Corea del Sur; África
Costa de Marfil; América Central
Costa Rica; Europa
Croacia; América del Norte
Cuba; América del Norte 
Curazao; Europa
Dinamarca; América del Sur
Ecuador; América del Sur
Egipto; África
El Salvador; América Central
Emiratos Árabes Unidos; Asia
Eritrea; África
Escocia; Europa 
Eslovaquia; Europa
Eslovenia; Europa
España; Europa
Estados Unidos; América del Norte
Estonia; Europa
Etiopía; África
Filipinas; Asia
Finlandia; Europa
Fiyi; Oceanía
Francia; Europa
Gabón; África
Georgia;Europa 
Ghana; África
Gibraltar; Europa 
Grecia; Europa
Groenlandia; América del Norte 
Guam; Oceanía 
Guatemala; América Central
Guinea; África
Guinea Ecuatorial; África
Guyana; América del Sur
Haití; América del Norte
Honduras; América Central
Hong Kong; Asia 
Hungría; Europa
India; Asia
Indonesia; Asia
Inglaterra; Europa 
Irak; Asia
Irán; Asia
Irlanda; Europa
Isla Wake; Oceanía 
Islandia; Europa
Islas Maldivas; Asia
Islas Marshall; Oceanía
Islas Santa Elena; África 
Israel; Asia
Italia; Europa
Jamaica; América del Norte
Japón; Asia
Jersey; Europa 
Jordania; Asia
Kazajistán; Asia
Kenia; África
Kirguistán; Asia
Kosovo; Europa
Kuwait; Asia
Laos; Asia
Letonia; Europa
Líbano; Asia
Liberia; África
Libia; África
Lituania; Europa
Luxemburgo; Europa
Macedonia del Norte; Europa
Madagascar; África
Malasia; Asia
Malaui; África
Malí; África
Malta; Europa
Marruecos; África
Martinica; América del Norte
Mauritania; África
México; América del Norte
Micronesia; Oceanía
Moldavia; Europa
Mongolia; Asia
Montenegro; Europa
Mozambique; África
Myanmar; Asia
Namibia; África
Nepal; Asia
Nicaragua; América Central
Níger; África
Nigeria; África
Noruega; Europa
Nueva Zelanda; Oceanía
Países Bajos; Europa
Pakistán; Asia
Palestina; Asia 
Panamá; América Central
Papúa Nueva Guinea; Oceanía
Paraguay; América del Sur
Perú; América del Sur
Polinesia Francesa; Oceanía
Polonia; Europa
Portugal; Europa
Puerto Rico; América del Norte 
Reino Unido; Europa
República Centroafricana; África
República Checa; Europa
República de China; Asia
República del Congo; África
República Democrática del Congo; África
República Dominicana; América del Norte
Reunión; África 
Ruanda; África
Rumania; Europa
Rusia; Europa y Asia 
Sáhara Occidental; África 
Samoa Americana; Oceanía 
Samoa Occidental; Oceanía
San Martín; América del Norte 
San Vicente y las Granadinas; América del Norte
Santa Lucía; América del Norte
Santo Tomé y Príncipe; África
Senegal; África
Serbia; Europa
Sierra Leona; África
Singapur; Asia
Siria; Asia
Somalia; África
Somalilandia; África 
Sri Lanka; Asia
Sudáfrica; África
Sudán; África
Sudán del Sur; África
Suecia; Europa
Suiza; Europa
Surinam; América del Sur
Tailandia; Asia
Taiwán; Asia
Tanzania; África
Tayikistán; Asia
Togo; África
Trinidad y Tobago; América del Norte
Túnez; África
Turkmenistán; Asia
Turquía; Europa y Asia 
Ucrania; Europa
Uganda; África
Uganda/Kenia; África
Unión Soviética;Europa
Uruguay; América del Sur
Uzbekistán; Asia
Vanuatu; Oceanía
Venezuela; América del Sur
Vietnam; Asia
Yemen; Asia
Yibuti; África
Zambia; África
Zimbabue; África
